,PS1,PS2,PS3,PS4,PS5,FS1,TS1,TS2,TS3,TS4,CE,CP,SE,y_coolerCondition,y_valveCondition,y_pumpLeak,y_hydraulicAcc,y_stableFlag
0,160.67349166666625,109.46691350000005,1.9914753333333262,9.842169500000013,9.7280975,6.709815000000007,35.62198333333334,40.97876666666664,38.471016666666664,31.745250000000006,39.60135,1.8627499999999997,59.15718333333337,3,100,0,130,1
1,160.60332000000074,109.3548903333334,1.9762343333333219,9.635142166666707,9.529487833333397,6.715314999999993,36.676966666666665,41.53276666666667,38.97896666666667,34.49386666666666,25.786433333333324,1.2555500000000002,59.33561666666665,3,100,0,130,1
2,160.34771999999944,109.15884466666672,1.9722239999999964,9.530547833,9.427948833333366,6.718521666666663,37.88080000000001,42.44245000000001,39.63194999999999,35.64615,22.21823333333334,1.113216666666666,59.543150000000004,3,100,0,130,1
3,160.1880883333334,109.06480716666653,1.9465754999999827,9.438826666666722,9.337429500000049,6.720564999999993,38.879049999999985,43.40398333333333,40.403383333333345,36.579466666666654,20.45981666666667,1.0621500000000001,59.79489999999999,3,100,0,130,1
4,160.0004716666663,108.93143433333374,1.9227069999999837,9.358761999999949,9.260636166666663,6.690308333333334,39.80391666666669,44.332750000000004,41.310550000000006,37.427899999999994,19.787016666666677,1.0704666666666671,59.455266666666674,3,100,0,130,1
5,159.9202100000004,108.88768166666719,1.9132845,9.301159666666644,9.206877000000002,6.699023333333328,40.65944999999999,45.17061666666665,42.12411666666665,38.21206666666665,19.149683333333336,1.0720833333333333,59.56333333333331,3,100,0,130,1
6,159.67267499999937,108.67646550000013,1.8880996666666647,9.233941833333331,9.143320167,6.6985733333333295,41.46363333333333,45.94723333333334,42.88811666666665,38.93209999999999,18.666383333333332,1.0816833333333336,59.789899999999975,3,100,0,130,1
7,159.61445166666644,108.6517446666669,1.8748941666666623,9.194159166666767,9.105058166666646,6.678026666666669,42.215266666666665,46.66523333333335,43.51988333333331,39.55896666666667,18.178433333333334,1.0786999999999998,59.59061666666667,3,100,0,130,1
8,159.47574499999968,108.52973849999994,1.8581203333333367,9.144616166666712,9.057066833333351,6.6716516666666665,42.89198333333331,47.339433333333325,44.201249999999966,40.08053333333334,18.334866666666663,1.1150833333333332,59.608883333333324,3,100,0,130,1
9,159.43799666666678,108.51088516666725,1.8410633333333353,9.104831499999985,9.019264666666755,6.659990000000001,43.532833333333336,47.98141666666667,44.79713333333333,40.612549999999985,18.205733333333335,1.1291333333333335,59.47373333333334,3,100,0,130,1
